Sl No,Customer Name,Last Year,April,May,June,July,August,September,October,November,December,January,February,March,Total,Action
1,BANALARI WORLD CAR,0,0,0,0,0,0,0,0,0,0,0,214751,4088,218839,Remove
2,BY ZERO FUTURA TECH LLP,0,0,0,0,0,0,0,2580,0,0,0,0,0,2580,Remove
3,GOENKA ENG WORK MAWBLEI,0,0,0,0,0,0,0,0,0,229525,0,0,0,229525,Remove
4,GOENKA ENGINEERING WORK,0,0,0,0,0,0,0,0,0,256679,0,0,0,256679,Remove
5,RANI MOTOR GARIKHANA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
6,RANI MOTOR MAWBLEI,0,0,0,0,0,0,0,0,0,0,120775,253850,0,374625,Remove
7,RANI MOTOR NONGPOH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
8,RANI MOTOR NONGSTOIN,0,0,0,0,0,0,-12180,0,0,0,0,0,0,-12180,Remove
9,RANI SPARES PARTS,0,0,0,0,0,0,0,0,0,0,0,44189,22095,66284,Remove
10,RANI SPARES PARTS LAITKOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
11,SHILLONG HYUNDAI,0,0,0,0,0,0,0,0,0,0,570585,38594,167106,776285,Remove
12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
13,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
14,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
15,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
17,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
21,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Remove
